"ID","SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","CITY","STATE","ZIP","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","STATUS","NEXT.OPEN.HOUSE.START.TIME","NEXT.OPEN.HOUSE.END.TIME","SOURCE","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","TARGET"
3636,"MLS Listing",NA,"Condo/Co-op","Atlanta","GA","30339",2,2,"Vinings View",980,NA,1975,6,143,NA,"Active","","","GAMLS","N","Y","33.9"," -84.5","FALSE"
3637,"New Construction Home",NA,"Single Family Residential","Orlando","FL","32827",3,2.5,"Laureate Park at Lake Nona Garden",1941,NA,2017,152,202,NA,"Active","","","NewHomeSource.com","N","Y","28.4"," -81.2","TRUE"
3638,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33129",2,2,"Echo Brickell",1355,NA,2017,13,656,1263,"Active","","","MARMLS","N","Y","25.8"," -80.2","TRUE"
3639,"MLS Listing",NA,"Townhouse","Baltimore","MD","21224",3,3,"Canton",1234,NA,1920,49,312,NA,"Active","","","MRIS","N","Y","39.3"," -76.6","TRUE"
3640,"MLS Listing",NA,"Single Family Residential","Richmond Hill","NY","11419",3,2.5,"Richmond Hill",NA,2018,1901,26,NA,NA,"Active","","","MLSLI","N","Y","40.7"," -73.8","TRUE"
3641,"MLS Listing",NA,"Townhouse","Dana Point","CA","92629",3,2.5,"DH - Dana Hills",1800,2500,1977,1,417,350,"Active","","","CRMLS","N","Y","33.5","-117.7","TRUE"
3642,"MLS Listing",NA,"Condo/Co-op","Manhattan","NY","10009",2,1,"311 East 3rd Street Hdfc",NA,NA,1920,88,NA,NA,"Active","March-11-2018 11:00 AM","March-11-2018 12:30 PM","MLSLI","N","Y","40.7"," -74.0","TRUE"
3643,"MLS Listing",NA,"Single Family Residential","Atlanta","GA","30327-1312",3,3.5,"Buckhead",3024,36895,1930,218,461,NA,"Active","","","GAMLS","N","Y","33.8"," -84.4","TRUE"
3644,"MLS Listing",NA,"Single Family Residential","Baltimore","MD","21218",3,2.5,"Ednor Gardens",1440,6000,1938,82,167,NA,"Active","","","MRIS","N","Y","39.3"," -76.6","FALSE"
3645,"MLS Listing",NA,"Townhouse","Baltimore","MD","21209",3,2.5,"Broadview",1934,2613,1993,57,118,42,"Active","","","MRIS","N","Y","39.4"," -76.7","FALSE"
3646,"MLS Listing",NA,"Condo/Co-op","Miami","FL","33131",2,2,"Miami",1227,NA,2005,132,407,620,"Active","","","GFLMLS","N","Y","25.8"," -80.2","TRUE"
3647,"MLS Listing",NA,"Condo/Co-op","Baltimore","MD","21202",2,2,"414 Water Street Condominium",1084,NA,2008,288,242,403,"Active","","","MRIS","N","Y","39.3"," -76.6","FALSE"
